               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.072005,            0.026784,            0.022998,             0.40825,             0.38095,             0.43806,             0.23604,            0.075489,            0.017025,            0.022861,            0.006535,            0.006535,            0.006535
                  37,             0.07093,            0.027368,            0.024243,             0.46752,             0.38095,             0.50084,             0.14366,            0.068534,            0.017464,            0.022461,            0.006436,            0.006436,            0.006436
                  38,            0.064204,            0.018311,             0.02259,             0.76574,             0.46429,             0.56192,             0.26135,            0.066806,            0.017506,            0.022217,            0.006337,            0.006337,            0.006337
                  39,            0.070141,            0.017341,            0.021348,             0.24031,             0.61905,             0.38758,             0.12674,            0.070131,            0.016933,            0.021674,            0.006238,            0.006238,            0.006238
                  40,            0.067222,            0.018292,            0.022039,             0.24031,             0.61905,             0.38758,             0.12674,            0.070131,            0.016933,            0.021674,            0.006139,            0.006139,            0.006139
                  41,            0.064334,            0.020474,            0.023462,             0.56631,             0.39436,             0.50954,             0.21327,            0.062605,            0.017696,            0.021481,             0.00604,             0.00604,             0.00604
                  42,            0.063662,            0.020076,            0.021428,             0.49595,             0.36246,             0.48385,             0.22079,            0.066021,            0.017292,            0.021155,            0.005941,            0.005941,            0.005941
                  43,            0.074049,            0.025266,            0.023696,             0.76022,             0.44816,             0.59458,             0.24645,             0.05961,            0.017662,            0.020889,            0.005842,            0.005842,            0.005842
                  44,            0.058387,            0.021656,            0.020184,             0.76022,             0.44816,             0.59458,             0.24645,             0.05961,            0.017662,            0.020889,            0.005743,            0.005743,            0.005743
                  45,            0.058728,            0.020924,            0.023093,             0.59221,             0.46429,             0.57697,             0.26067,            0.051418,            0.018665,            0.020569,            0.005644,            0.005644,            0.005644
                  46,            0.054878,            0.028236,            0.022108,             0.34597,              0.7619,              0.5721,             0.27582,            0.054945,            0.018349,            0.020248,            0.005545,            0.005545,            0.005545
                  47,            0.058135,            0.019709,            0.021454,             0.50308,             0.54762,             0.63234,             0.22951,            0.050843,            0.019085,            0.019376,            0.005446,            0.005446,            0.005446
                  48,            0.052787,            0.019935,             0.02079,             0.50308,             0.54762,             0.63234,             0.22951,            0.050843,            0.019085,            0.019376,            0.005347,            0.005347,            0.005347
                  49,            0.048285,            0.018175,            0.020818,             0.61412,              0.7619,             0.71029,             0.30754,             0.04462,            0.018955,            0.019083,            0.005248,            0.005248,            0.005248
                  50,            0.048017,            0.021626,            0.020067,             0.54073,             0.54762,             0.63041,             0.18851,            0.057903,            0.019577,            0.018878,            0.005149,            0.005149,            0.005149
                  51,            0.055532,             0.01897,            0.019924,             0.65935,             0.55552,              0.7585,             0.29071,            0.049799,            0.018196,            0.018362,             0.00505,             0.00505,             0.00505
                  52,            0.055474,            0.018452,             0.01938,             0.65935,             0.55552,              0.7585,             0.29071,            0.049799,            0.018196,            0.018362,            0.004951,            0.004951,            0.004951
                  53,             0.04755,            0.022383,            0.021687,             0.74222,             0.69048,             0.83949,             0.39084,            0.040482,            0.017857,             0.01772,            0.004852,            0.004852,            0.004852
                  54,            0.049335,            0.017599,            0.018576,             0.69375,             0.69048,             0.76095,              0.2935,            0.061656,            0.016659,            0.017311,            0.004753,            0.004753,            0.004753
                  55,            0.063029,            0.019662,            0.019196,             0.73157,             0.77285,             0.83954,              0.3721,            0.044671,            0.017715,            0.016768,            0.004654,            0.004654,            0.004654
                  56,             0.04634,            0.024902,            0.019108,             0.73157,             0.77285,             0.83954,              0.3721,            0.044671,            0.017715,            0.016768,            0.004555,            0.004555,            0.004555
                  57,            0.045391,            0.018156,            0.019574,             0.79315,             0.64266,             0.81726,             0.47187,            0.042681,            0.017742,            0.016229,            0.004456,            0.004456,            0.004456
                  58,            0.044047,            0.019412,            0.017458,             0.69938,             0.69377,              0.8139,             0.37266,             0.04489,            0.017445,            0.015849,            0.004357,            0.004357,            0.004357
                  59,            0.051457,            0.016238,            0.020308,             0.70974,              0.7619,             0.83734,             0.48513,            0.041058,            0.017311,            0.015324,            0.004258,            0.004258,            0.004258
